id;название;регион;площадь_кв_км;год_основания;описание;вебсайт
64;Командорский заповедник;Камчатский край;3620;1993;Острова, морские млекопитающие, колонии птиц;https://komandorsky.ru/
65;Остров Врангеля;Чукотский автономный округ;22560;1976;Арктическая тундра, моржи, белые медведи;http://www.wrangelisland.org/
66;Верхне-Тазовский заповедник;Ямало-Ненецкий автономный округ;6310;1986;Северная тайга, редкие виды рыб и птиц;
67;Заповедник Ростовский;Ростовская область;96.8;1995;Степь, сайгаки, охрана южных экосистем;https://www.rostzap.ru/
68;Смидовичский заповедник;Еврейская автономная область;116.8;1997;Дальневосточная природа, редкие птицы и млекопитающие;
69;Чарышский заповедник;Алтайский край;;1999;Горные леса, охрана экосистем предгорий;
70;Нургуш;Кировская область;566.2;1994;Болота, леса, охрана водно-болотных угодий;
71;Заповедник Чаусский;Белгородская область;50.3;1999;Лесостепная зона, охрана меловых обнажений;
72;Заповедник Лосиний Остров;Московская область;116;1983;Городской лес, экосистема рядом с мегаполисом;
73;Утриш;Краснодарский край;97.9;2010;Прибрежные леса, эндемики, редкие виды животных;http://www.utrishgpz.ru/
74;Черные земли;Республика Калмыкия;1219;1990;Полупустыни, джейраны, охрана пустынных экосистем;
75;Заповедник Большая Кокшага;Республика Марий Эл;21.7;1993;Леса средней полосы, редкие растения и животные;
76;Бастак;Еврейская автономная область;914.8;1997;Смешанные леса, маньчжурская флора, редкие птицы;
77;Заповедник Кологривский лес;Костромская область;58.9;2006;Старовозрастные еловые леса, охрана таежной флоры;
78;Оренбургский заповедник;Оренбургская область;215.3;1989;Степи, охрана участков ковыльной степи;https://orenzap.ru/
79;Заповедник Брянский лес;Брянская область;121.8;1987;Смешанные леса, европейская фауна, экопросвещение;https://www.bryansky-les.ru/
80;Галичья Гора;Липецкая область;230.8;1925;Меловые горы, флора и фауна степной зоны;
81;Денежкин Камень;Свердловская область;1219.2;1991;Горная тайга, редкие виды растений и животных;https://www.denkam.ru/
82;Заповедник Жигулёвский;Самарская область;231.5;1927;Жигулёвские горы, меловые и лесные экосистемы;https://zhreserve.ru/
84;Керженский заповедник;Нижегородская область;470.3;1993;Болотно-таежные комплексы, охрана биоразнообразия;http://www.kerzhenskiy.ru/
85;Заповедник Мордовский;Республика Мордовия;321.6;1936;Сосновые боры, река Мокша, ландшафтное разнообразие;
86;Присурский заповедник;Чувашская Республика;90.8;1995;Лесостепь, редкие виды насекомых, флоры и фауны;
87;Шайтан-Тау;Оренбургская область;6.7;2014;Горные степи, редкие растения и ландшафты;
88;Заповедник Малая Сосьва;Ханты-Мансийский автономный округ — Югра;2252.6;1976;Северная тайга, кедровники, охрана боровой дичи;
89;Заповедник Вишерский;Пермский край;2414.1;1991;Уральская тайга, река Вишера, охрана горных ландшафтов;
90;Ненецкий заповедник;Ненецкий автономный округ;3130;1997;Арктическая тундра, прибрежные экосистемы, птицы;https://nenzap.ru/
91;Заповедник Дагестанский;Республика Дагестан;193;1987;Каспийское побережье, редкие виды птиц и рыб;
92;Заповедник Кавказский;Краснодарский край;2844.7;1924;Высокогорья Кавказа, зубры, уникальная флора и фауна;https://kavkazzapoved.ru/
93;Заповедник Убинский;Новосибирская область;;1994;Охрана водно-болотных угодий и степных территорий;
94;Заповедник Северный;Курганская область;;2013;Степные участки, охрана ковыльных лугов;
95;Курильский заповедник;Сахалинская область;654.2;1984;Островная флора и фауна, вулканические ландшафты;
96;Заповедник Бочинский;Иркутская область;;2005;Байкальская природа, охрана болотных систем;
97;Заповедник Таймырский;Красноярский край;17800;1979;Арктическая тундра, миграции птиц и северных оленей;
98;Заповедник Олекминский;Республика Саха (Якутия);8473;1984;Таежные экосистемы, редкие виды животных;
99;Заповедник Алданский;Республика Саха (Якутия);868.7;1992;Горная тайга, редкие и эндемичные виды;
100;Заповедник Ленский;Республика Саха (Якутия);13489;1995;Среднетаёжные леса, река Лена, охрана экосистем;
101;Заповедник Журавлиный;Амурская область;;1994;Болота и леса, охрана мест обитания журавлей;
102;Заповедник Буреинский;Хабаровский край;3582.5;1987;Горные экосистемы, редкие виды, бурные реки;http://bureya-reserve.ru/
103;Заповедник Командорский;Камчатский край;36480;1993;Острова, морские экосистемы, морские млекопитающие;https://komandorsky.ru/
104;Кроноцкий заповедник;Камчатский край;11520;1934;Вулканы, гейзеры, уникальные природные явления;https://kronoki.ru/
105;Корякский заповедник;Камчатский край;3278;1995;Горные и прибрежные экосистемы Камчатки;
106;Заповедник Большехехцирский;Хабаровский край;454.3;1963;Горные леса, редкие виды растений и животных;http://zapovednik-bkhz.ru/
107;Заповедник Ханкайский;Приморский край;400.2;1990;Озеро Ханка, болота, места обитания птиц;
108;Заповедник Уссурийский;Приморский край;404.3;1932;Широколиственные леса, тигры, леопарды;http://www.ussuriysky.ru/
109;Сихотэ-Алинь;Приморский край;4016.2;1935;Горные леса, амурский тигр, биоразнообразие;https://sikhote-alin.ru/
110;Заповедник Лазовский;Приморский край;1216.2;1957;Морские и горные экосистемы, охрана дикой природы;
111;Заповедник Кедровая Падь;Приморский край;178.7;1916;Самый старый заповедник России, дальневосточный леопард;https://kedr.org.ru/
112;Заповедник Бастак;Еврейская автономная область;911.5;1997;Лесостепи и болота, журавли, дальневосточный аист;https://bastakzap.ru/
113;Заповедник Даурский;Забайкальский край;2269;1987;Степи, солёные озёра, журавли, трансграничный резерват;https://daurzapoved.com/
114;Заповедник Чикойский;Забайкальский край;666;2014;Горные и лесные экосистемы на границе с Монголией;
115;Заповедник Витимский;Иркутская область;5858;1982;Горная тайга, редкие виды растений и животных;
116;Заповедник Байкало-Ленский;Иркутская область;6590;1986;Западное побережье Байкала, горные экосистемы;
117;Заповедник Саяно-Шушенский;Красноярский край;3900;1976;Южнотаёжные леса, снежный барс, горные хребты;https://sayanzapoved.ru/
118;Заповедник Хакасский;Республика Хакасия;2672.6;1999;Степи, горы, охрана культурного и природного наследия;https://zapovednik-khakassky.ru/
119;Заповедник Тункинский;Республика Бурятия;11837;1991;Долина реки Иркут, граница с Монголией, биоразнообразие;
120;Заповедник Баргузинский;Республика Бурятия;3749.3;1916;Первый заповедник России, байкальская нерпа, кедровые леса;https://zapovednoe-podlemorye.ru/
