Название;Долгота;Широта;Среднее значение
Бузулук;52.2;52.0;1.2
Колышлеево;53.6;52.3;0.7
Енисейск;92.4;58.2;0.7
Томск;95.9;58.1;0.7
Большая Мурта;93.1;57.6;0.6
Сухобузимское;93.3;56.5;0.7
Дзержинское;95.2;56.1;0.7
Красноярск;92.8;56.0;1.4
Уяр;94.3;55.8;0.7
Шалинское;93.8;55.7;0.6
Солянка;95.5;55.3;0.7
Канск;95.6;56.2;0.7
Барабинск;78.4;55.3;0.6
Огурцово;83.0;55.2;0.8
Кемерово;86.2;55.4;0.9
Нижнедвинск;99.0;55.1;0.6
Карасук;78.1;53.7;0.6
Барнаул АМГС;83.5;53.4;0.7
Новокузнецк;87.1;53.8;0.5
Хакассия;91.3;53.2;0.7
Курагино;92.7;52.5;0.6
Бийск-Зональная;85.0;52.3;0.8
Таштып;89.9;52.8;0.6
Киренск;108.1;57.8;0.6
Бодайбо;114.2;57.5;2.7
Братск;101.8;56.1;3.3
Енисейск;92.2;56.2;0.6
Чара;118.0;56.8;0.9
Чулман;124.9;56.1;0.9
Бохан;103.8;55.0;0.6
Качуг;105.9;54.0;4.6
Иркутск;104.3;52.3;2.1
Ангарск;103.9;52.5;2.0
Чита;113.5;52.1;0.8
Алдан;125.4;58.1;1.2
Талон;148.6;54.1;0.7
Благовещенск;127.6;50.3;1.2
Хабаровск;135.2;48.5;1.4
Советская Гавань;140.3;49.0;1.8
Сад-Город(Владивосток);132.1;43.1;1.9
Оха;143.0;53.6;0.7
Поронайск;143.1;49.2;0.4
Холмск;142.1;47.1;0.5
Южно-Сахалинск;142.7;47.0;0.9
Петропавловск-Камчатский;158.7;53.0;0.4
Дмитровск-Орловский;35.1;52.5;1.0
Фатеж;35.9;52.3;1.0
Курск;36.2;51.8;0.9
Балаково ГМБ-1;47.8;52.0;0.9
Пугачев;48.8;52.0;0.8
Льгов;35.3;51.7;0.9
Курчатов;35.7;51.6;1.1
Обонь;36.3;51.2;1.0
Нижнедевицк;38.4;51.6;0.6
Воронеж;39.2;51.7;0.5
Нововоронеж;39.2;51.6;1.1
Балашов;43.1;51.6;0.9
Саратов-Юго-Восток;46.0;51.5;1.4
Белгород;36.6;50.6;1.0
Лиска(Георгиду-Деж);39.0;51.2;1.0
Анна;40.4;51.5;0.8
Новоузенск;48.1;50.5;0.6
Миллерово;40.8;48.9;0.8
Ростов-на-Дону;39.8;47.3;1.0
Цимлянск;42.9;47.6;0.5
Элиста;44.3;46.4;0.7
Астрахань;48.1;46.3;0.6
Оренбург;55.1;51.8;0.6
Рубцовск;82.8;51.5;0.7
Кызыл;94.5;51.7;0.6
Новороссийск;37.9;44.7;0.7
